uf,cod_uf,populacao
Brasil,BR,207750291
Rondônia,RO,1616379
Acre,AC,829780
Amazonas,AM,3952262
Roraima,RR,634805
Pará,PA,8442962
Amapá,AP,774268
Tocantins,TO,1584306
Maranhão,MA,6800605
Piauí,PI,3270174
Ceará,CE,8936431
Rio Grande do Norte,RN,3303953
Paraíba,PB,4030961
Pernambuco,PE,9051113
Alagoas,AL,3125254
Sergipe,SE,2211868
Bahia,BA,14659023
Minas Gerais,MG,20732660
Espírito Santo,ES,3975100
Rio de Janeiro,RJ,16615526
São Paulo,SP,46024937
Paraná,PR,11835379
Santa Catarina,SC,7762154
Rio Grande do Sul,RS,11088065
Mato Grosso do Sul,MS,2833742
Mato Grosso,MT,3784239
Goiás,GO,6950976
Distrito Federal,DF,2923369
